Sample #,Accretion Factor,Autoconversion Factor
0,1.0,1.0
51,0.0,1.0
52,1.0,0.0
53,0.0,0.0
1,22.47762310145409,299.0926451671614
2,5.489066554702007,1.0875281829072527
3,2.953302346185345,112.18617265221239
4,0.15341847374375966,0.002380654999042773
5,61.76658003430349,14.121736767514202
6,33.167095892334224,37.51235688049647
7,0.005689249047821134,0.0031094935817999776
8,130.02401697278356,0.5392792807418914
9,1.131444708942338,109.47617299415778
10,0.7949563389751327,0.2098360179836337
11,17.109965004897386,0.13014480345839513
12,0.006856655673134823,16.481224758772232
13,0.0013702421653852509,0.1795110448096029
14,0.28983658117267824,0.08147371446022576
15,106.7642035126993,0.01706022422673687
16,0.050839552355720054,9.272742593598654
17,77.15404318526132,530.7233147033637
18,0.09553529749820412,1.6519974460276776
19,0.5540282313072238,0.005960784903317675
20,182.1819552981501,0.004280735471476353
21,0.07305562818987552,0.028496503476979143
22,1.4338498534795494,33.708799505655726
23,0.02159881659969801,0.08705640509698419
24,0.03224029262043045,179.1058635188369
25,279.55760819679233,0.015031147973037475
26,15.137307612589236,63.86949294945161
27,0.016575891201088645,0.03939235987988432
28,0.3579757707714075,0.001037774270145108
29,517.8655179935799,0.0019162526756109916
30,0.7290457219141211,81.80901755236849
31,0.012981841122504735,224.65409004639315
32,381.06823878205944,0.022005385516620225
33,0.12041714075674634,0.6500255088116748
34,0.003345220757865013,4.851463305621767
35,48.090261504004694,0.010491123855693361
36,11.425347426428388,24.874377949021284
37,0.002336619878313883,6.527018849318437
38,3.935859997087045,947.148247263753
39,4.865413754393575,2.52316297304258
40,877.4585337597412,0.3502460575023594
41,0.20794509840157432,3.5737662019039225
42,0.009449094809645524,0.008568217583382831
43,771.1753731208272,2.2407486938487513
44,0.038769239880843485,0.0014959203824748365
45,8.787734533408182,7.997682950274665
46,0.002150779228269495,367.4672455871931
47,226.21291525684302,0.29680586582086443
48,2.1131499781153393,0.8396657013419938
49,0.004662356235885444,0.06099944946460966
50,0.0012471041233239636,594.3796589719808
